model;product;category;relevance;replacement
DS-PWA64-L-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PWA96-M-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PWA64-Kit-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PWA96-Kit-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PK1-E-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PT1-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PKF1-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PS1-I-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PS1-E-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PDP15P-EG2-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PDC15-EG2-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PDD12P-EG2-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PDPC12P-EG2-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PDMC-EG2-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PDMCS-EG2-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PDEB1-EG2-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PDEBP1-EG2-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PDWL-E-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PM1-O1L-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PM1-O1H-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PR1-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PSP1-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PDPG12P-EG2-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PDBG8-EG2-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PDMCK-EG2-WE;2020 Q4 Alarm Price List ;Д;true;
DS-PT1-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PKF1-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PS1-I-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PS1-I-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PS1-E-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PS1-E-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PS1-E-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PDP15P-EG2-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PDC15-EG2-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PDD12P-EG2-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PDPC12P-EG2-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PDMC-EG2-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PDMCS-EG2-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PDEB1-EG2-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PDEBP1-EG2-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PDWL-E-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PM1-O1L-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PM1-O1H-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PR1-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PSP1-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PDPG12P-EG2-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PDBG8-EG2-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PDMCK-EG2-WB;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-HGR;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-HSR;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-NGT;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-NST;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-NKGT;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-NKST;2020 Q4 Alarm Price List ;Д;true;
DS-PA-Battery;2020 Q4 Alarm Price List ;Д;true;
DS-PM-WI1;2020 Q4 Alarm Price List ;Д;true;
DS-PM-WO2;2020 Q4 Alarm Price List ;Д;true;
DS-PM-WO8;2020 Q4 Alarm Price List ;Д;true;
DS-PKA-WLM-868;2020 Q4 Alarm Price List ;Д;true;
DS-PTA-WL-868;2020 Q4 Alarm Price List ;Д;true;
DS-PTS-MF;2020 Q4 Alarm Price List ;Д;true;
DS-PKFS-4;2020 Q4 Alarm Price List ;Д;true;
DS-PKFE-5;2020 Q4 Alarm Price List ;Д;true;
DS-PSG-WI-868;2020 Q4 Alarm Price List ;Д;true;
DS-PSG-WO-868;2020 Q4 Alarm Price List ;Д;true;
DS-PD2-P10P-W;2020 Q4 Alarm Price List ;Д;true;
DS-PD2-P10P-W(HT);2020 Q4 Alarm Price List ;Д;true;
DS-PD2-P15C-W;2020 Q4 Alarm Price List ;Д;true;
DS-PD2-P15C-W(HT);2020 Q4 Alarm Price List ;Д;true;
DS-PD2-P25-W;2020 Q4 Alarm Price List ;Д;true;
DS-PD2-P25-W(HT);2020 Q4 Alarm Price List ;Д;true;
DS-PD2-D12-W;2020 Q4 Alarm Price List ;Д;true;
DS-PD2-D10P-W;2020 Q4 Alarm Price List ;Д;true;
DS-PDB-IN-Universalbracket;2020 Q4 Alarm Price List ;Д;true;
DS-PDB-IN-Ceilingbracket;2020 Q4 Alarm Price List ;Д;true;
DS-PDB-IN-Wallbracket;2020 Q4 Alarm Price List ;Д;true;
DS-PD1-MC-WWS(H);2020 Q4 Alarm Price List ;Д;true;
DS-PD1-MC-WWS(P);2020 Q4 Alarm Price List ;Д;true;
DS-PDP-IN-CR123A;2020 Q4 Alarm Price List ;Д;true;
DS-PD2-T10P-WEH;2020 Q4 Alarm Price List ;Д;true;
DS-PD2-T12P-WEL;2020 Q4 Alarm Price List ;Д;true;
DS-PDP-EX-ES1;2020 Q4 Alarm Price List ;Д;true;
DS-PDB-EX-Wallbracket;2020 Q4 Alarm Price List ;Д;true;
DS-PDB-EX-Adapter;2020 Q4 Alarm Price List ;Д;true;
DS-PDB-EX-Fixedbracket;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-H;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-HG;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-HGR;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-HSR;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-K;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-KG;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-KGT;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-KS;2020 Q4 Alarm Price List ;Д;true;
DS-PWA32-KST;2020 Q4 Alarm Price List ;Д;true;
DS-PA-Battery;2020 Q4 Alarm Price List ;Д;true;
DS-PM-WI1;2020 Q4 Alarm Price List ;Д;true;
DS-PM-WO2;2020 Q4 Alarm Price List ;Д;true;
DS-PM-WO8;2020 Q4 Alarm Price List ;Д;true;
DS-PKA-WLM-433;2020 Q4 Alarm Price List ;Д;true;
DS-PTA-WL-433;2020 Q4 Alarm Price List ;Д;true;
DS-PTS-MF;2020 Q4 Alarm Price List ;Д;true;
DS-19K00-Y;2020 Q4 Alarm Price List ;Д;true;
DS-PSG-WI-433;2020 Q4 Alarm Price List ;Д;true;
DS-PSG-WO-433;2020 Q4 Alarm Price List ;Д;true;
DS-PD2-P10P-W(HT);2020 Q4 Alarm Price List ;Д;true;
DS-PD2-P15C-W(HT);2020 Q4 Alarm Price List ;Д;true;
DS-PD2-P25-W(HT);2020 Q4 Alarm Price List ;Д;true;
DS-PD2-D12-W;2020 Q4 Alarm Price List ;Д;true;
DS-PD2-D10P-W;2020 Q4 Alarm Price List ;Д;true;
DS-PDB-IN-Universalbracket;2020 Q4 Alarm Price List ;Д;true;
DS-PDB-IN-Ceilingbracket;2020 Q4 Alarm Price List ;Д;true;
DS-PDB-IN-Wallbracket;2020 Q4 Alarm Price List ;Д;true;
DS-PD1-MC-WWS;2020 Q4 Alarm Price List ;Д;true;
DS-PD1-EB-WR(S);2020 Q4 Alarm Price List ;Д;true;
DS-PD1-EB-WS2;2020 Q4 Alarm Price List ;Д;true;
DS-PD1-PM-W;2020 Q4 Alarm Price List ;Д;true;
DS-PD1-WL-W;2020 Q4 Alarm Price List ;Д;true;
DS-PD1-TP-W;2020 Q4 Alarm Price List ;Д;true;
DS-PD1-SMK-W;2020 Q4 Alarm Price List ;Д;true;
DS-PDP-IN-CR123A;2020 Q4 Alarm Price List ;Д;true;
DS-PD2-T10P-WEH;2020 Q4 Alarm Price List ;Д;true;
DS-PD2-T12P-WEL;2020 Q4 Alarm Price List ;Д;true;
DS-PDP-EX-ES1;2020 Q4 Alarm Price List ;Д;true;
